Actual,Predicted,Confidence_Score
5.0,5.0,0.62
1.0,1.0,0.99
1.0,1.0,1.0
31.0,31.0,0.61
1.0,1.0,0.91
1.0,1.0,0.98
1.0,1.0,0.99
18.0,18.0,0.65
1.0,1.0,0.99
1.0,1.0,0.84
1.0,1.0,0.99
115.0,115.0,0.82
1.0,1.0,0.84
90.0,90.0,0.7
1.0,1.0,0.92
1.0,1.0,0.98
1.0,1.0,0.99
1.0,1.0,1.0
74.0,74.0,0.58
90.0,90.0,0.81
115.0,115.0,0.69
1.0,1.0,0.95
1.0,1.0,0.98
1.0,1.0,0.98
1.0,1.0,0.99
1.0,1.0,0.94
1.0,1.0,0.89
114.0,114.0,0.61
1.0,1.0,0.73
1.0,1.0,0.81
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
29.0,29.0,0.67
76.0,76.0,0.63
1.0,1.0,1.0
1.0,1.0,0.97
1.0,1.0,0.89
12.0,12.0,0.6
1.0,1.0,0.99
11.0,11.0,0.56
20.0,20.0,0.63
1.0,1.0,0.94
24.0,24.0,0.53
90.0,90.0,0.64
1.0,1.0,0.99
1.0,1.0,0.81
5.0,5.0,0.71
1.0,1.0,1.0
1.0,1.0,0.95
115.0,115.0,0.7
29.0,29.0,0.69
1.0,1.0,0.98
90.0,90.0,0.67
1.0,1.0,1.0
1.0,1.0,0.66
1.0,1.0,1.0
29.0,29.0,0.68
115.0,115.0,0.68
1.0,1.0,0.96
1.0,1.0,0.89
1.0,1.0,0.94
1.0,1.0,0.97
23.0,23.0,0.65
1.0,1.0,0.99
1.0,1.0,0.96
74.0,74.0,0.79
1.0,1.0,0.92
29.0,29.0,0.78
1.0,1.0,0.67
1.0,1.0,0.87
9.0,9.0,0.88
9.0,9.0,0.85
1.0,1.0,1.0
90.0,90.0,0.86
1.0,1.0,0.89
1.0,1.0,0.61
1.0,1.0,0.87
1.0,1.0,0.99
90.0,90.0,0.7
1.0,1.0,0.95
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.99
1.0,1.0,0.99
22.0,1.0,0.76
1.0,1.0,0.97
1.0,1.0,0.87
115.0,115.0,0.7
115.0,115.0,0.72
10.0,10.0,0.61
29.0,29.0,0.73
76.0,76.0,0.59
1.0,1.0,0.88
1.0,1.0,0.97
4.0,4.0,0.74
1.0,1.0,0.98
1.0,1.0,0.99
1.0,1.0,0.99
1.0,1.0,0.96
1.0,1.0,0.83
90.0,90.0,0.67
16.0,16.0,0.8
1.0,1.0,0.91
1.0,1.0,1.0
1.0,1.0,0.98
1.0,1.0,0.98
1.0,1.0,1.0
